,,,,,,,,
,Model,MMLU,HellaSwag,BoolQ,WinoGrande,TriviaQA,NaturalQ,BIG-Bench
,Gemma 2 PT 9B,71.3,81.9,84.2,80.6,76.6,29.2,68.2
,Gemma 2 PT 27B,75.2,86.4,84.8,83.7,83.7,34.5,74.9
,Gemma 3 PT 1B,-,62.3,63.2,58.2,39.8,9.48,28.4
,Gemma 3 PT 4B,59.6,77.2,72.3,64.7,65.8,20.0,50.9
,Gemma 3 PT 12B,74.5,84.2,78.8,74.3,78.2,31.4,72.6
,Gemma 3 PT 27B,78.6,85.6,82.4,78.8,85.5,36.1,
,Phi-3 Mini 128K Instruct (3.8B),69.7,70.5,77.1,71.0,57.8,-,72.1
,Phi-3 Small 8K Instruct (7B),75.7,77.0,84.8,81.5,58.1,-,79.1
,Phi-4 (14B),84.8,-,-,-,-,-,-
,Llama 3 8B Instruct,66.6,-,75.7,76.1,78.5,-,61.1
,Llama 3.1 8B Instruct,68.4,-,79.3,78.9,79.8,-,65.2
,Ministral 3 14B,79.4,,,,74.9,,
,Ministral 3 8B,70.6,,,,68.1,,
,Ministral 3 3B,65.2,,,,39.8,,
